SMILES
O=C(C=C1)C=CC1=O
O=C(C=C1N)C(N)=CC1=O
O=C1C2=CC=CC=C2C(C3=CC=CC=C31)=O
O=C(C(N)=C1N)C(NC(C(C(N)=C2N)=O)=C(N3)C2=O)=C3C1=O
O=C1C=CC=CC1=O
O=C1C=C(N)C(N)=CC1=O
OC1=CC=C(C=C1)O
OC(C=C1N)=C(C=C1O)N
OC1=C2C(C=CC=C2)=C(C3=CC=CC=C31)O
OC(C(N)=C1N)=C2C(NC3=C(O)C(N)=C(N)C(O)=C3N2)=C1O
OC1=C(C=CC=C1)O
OC1=C(O)C=C(N)C(N)=C1
