SMILEScsa,VoltageCSA
N#CC1=CC(=N\S(=O)(=O)C)\C(C=C1C#N)=N\S(=O)(=O)C,3.694569607
N#CC1=CC=C(C#N)/C(=N/S(=O)(=O)C)C\1=N\S(=O)(=O)C,3.578964696
N#CC1=CC(=N\S(=O)(=O)C)\C(C=C1)=N\S(=O)(=O)C,3.44019744
N#CC1=CC=CC(=N/S(=O)(=O)C)\C\1=N/S(=O)(=O)C,3.396354432
N#CC1=C(C#N)/C(=N\S(=O)(=O)C)C(\C(C#N)=C1C#N)=N/S(=O)(=O)C,4.173533786
CS(=O)(=O)/N=C1\C(=N\S(=O)(=O)C)C(F)=CC(F)=C1F,3.274338515
CS(=O)(=O)\N=C/1\C(F)=C(F)C(F)=CC\1=N/S(=O)(=O)C,3.225532148
CS(=O)(=O)\N=C/1\C(F)=C(F)C=CC\1=N/S(=O)(=O)C,3.212503329
CS(=O)(=O)\N=C1\C(=N/S(=O)(=O)C)C=C(F)C=C1F,3.204024257
CS(=O)(=O)/N=C1\C(=N\S(=O)(=O)C)C=C(F)C(F)=C1,3.151702177
CS(=O)(=O)/N=C1\C(=N\S(=O)(=O)C)C(F)=CC=C1F,3.224498115
CS(=O)(=O)/N=C1\C(=N\S(=O)(=O)C)C=CC(F)=C1,3.139086972
CS(=O)(=O)/N=C1\C(=N\S(=O)(=O)C)C=CC=C1F,3.188927372
CS(=O)(=O)/N=C1\C(=N\S(=O)(=O)C)C(F)=C(F)C(F)=C1F,3.267513896
CS(=O)(=O)/N=C1\C(=N\S(=O)(=O)C)C(N)=CC(N)=C1N,2.491575382
CS(=O)(=O)\N=C/1\C(N)=C(N)C(N)=CC\1=N/S(=O)(=O)C,2.451248088
CS(=O)(=O)\N=C/1\C(N)=C(N)C=CC\1=N/S(=O)(=O)C,2.691557403
CS(=O)(=O)\N=C1\C(=N/S(=O)(=O)C)C=C(N)C=C1N,2.50894714
CS(=O)(=O)/N=C1\C(=N\S(=O)(=O)C)C=C(N)C(=C1)N,2.520114699
CS(=O)(=O)/N=C1\C(=N\S(=O)(=O)C)C(N)=CC=C1N,2.76869628
CS(=O)(=O)/N=C1\C(=N\S(=O)(=O)C)C=CC(=C1)N,2.809850801
CS(=O)(=O)/N=C1\C(=N\S(=O)(=O)C)C=CC=C1N,2.882853545
CS(=O)(=O)/N=C1\C(=N\S(=O)(=O)C)C(N)=C(N)C(N)=C1N,2.353014934
COC1=C(OC)C=C(OC)C(=N\S(=O)(=O)C)/C1=N\S(=O)(=O)C,2.729609825
CS(=O)(=O)\N=C/1\C(OC)=C(OC)C(OC)=CC\1=N/S(=O)(=O)C,2.68990295
CS(=O)(=O)\N=C/1\C(OC)=C(OC)C=CC\1=N/S(=O)(=O)C,2.884301192
COC1=CC(OC)=CC(=N/S(=O)(=O)C)/C1=N/S(=O)(=O)C,2.807162315
COC(=C1)C(OC)=CC(=N\S(=O)(=O)C)/C1=N\S(=O)(=O)C,2.779657032
COC1=CC=C(OC)C(=N\S(=O)(=O)C)/C1=N\S(=O)(=O)C,2.817502647
COC(=C1)C=CC(=N\S(=O)(=O)C)/C1=N\S(=O)(=O)C,3.017071055
COC1=CC=CC(=N\S(=O)(=O)C)/C1=N\S(=O)(=O)C,2.953167803
COC1=C(OC)C(OC)=C(OC)C(=N\S(=O)(=O)C)/C1=N\S(=O)(=O)C,2.578227365
Cc1c(C)c(C)c(C)c(c12)/C(=N/S(=O)(=O)C)C=C(C)/C2=N\S(=O)(=O)C,2.368111818
Cc1c(C)c(C)cc(c12)C(=N\S(=O)(=O)C)\C(C)=C(C)/C2=N\S(=O)(=O)C,2.38403593
Cc1c(C)cc(C)c(c12)C(=N\S(=O)(=O)C)\C(C)=C(C)/C2=N\S(=O)(=O)C,2.346397121
Cc1c(C)c(C)c(C)c(c12)/C(=N/S(=O)(=O)C)C=CC\2=N/S(=O)(=O)C,2.652264142
Cc1c(C)c(C)cc(c12)/C(=N/S(=O)(=O)C)C=C(C)/C2=N\S(=O)(=O)C,2.508119914
Cc1c(C)c(C)cc(c12)C(=N\S(=O)(=O)C)\C(C)=CC\2=N/S(=O)(=O)C,2.481441857
Cc1c(C)cc(C)c(c12)/C(=N/S(=O)(=O)C)C=C(C)/C2=N\S(=O)(=O)C,2.416711379
Cc1c(C)cc(C)c(c12)C(=N\S(=O)(=O)C)\C(C)=CC\2=N/S(=O)(=O)C,2.432428683
Cc1c(C)ccc(c12)C(=N\S(=O)(=O)C)\C(C)=C(C)/C2=N\S(=O)(=O)C,2.416297765
CS(=O)(=O)/N=C1\C(C)=C(C)/C(=N\S(=O)(=O)C)c(c12)cc(C)cc2C,2.436151203
CS(=O)(=O)/N=C1\C(C)=C(C)/C(=N\S(=O)(=O)C)c(c12)c(C)ccc2C,2.394376262
CS(=O)(=O)/N=C1\C(C)=C(C)/C(=N\S(=O)(=O)C)c(c12)cc(C)c(C)c2,2.466965392
Cc1c(C)c(C)cc(c12)/C(=N/S(=O)(=O)C)C=CC\2=N/S(=O)(=O)C,2.619381886
Cc1c(C)cc(C)c(c12)/C(=N/S(=O)(=O)C)C=CC\2=N/S(=O)(=O)C,2.524457638
Cc1c(C)ccc(c12)/C(=N/S(=O)(=O)C)C=C(C)/C2=N\S(=O)(=O)C,2.547826788
Cc1c(C)ccc(c12)C(=N\S(=O)(=O)C)\C(C)=CC\2=N/S(=O)(=O)C,2.515978566
Cc1cc(C)cc(c12)/C(=N/S(=O)(=O)C)C=C(C)/C2=N\S(=O)(=O)C,2.558994347
Cc1cc(C)cc(c12)C(=N\S(=O)(=O)C)\C(C)=CC\2=N/S(=O)(=O)C,2.563957706
Cc1ccc(C)c(c12)/C(=N/S(=O)(=O)C)C=C(C)/C2=N\S(=O)(=O)C,2.476685304
CS(=O)(=O)/N=C1\C(C)=C(C)/C(=N\S(=O)(=O)C)c(c12)cccc2C,2.465104132
Cc(c1)c(C)cc(c12)/C(=N/S(=O)(=O)C)C=C(C)/C2=N\S(=O)(=O)C,2.621656759
CS(=O)(=O)/N=C1\C(C)=C(C)/C(=N\S(=O)(=O)C)c(c12)ccc(C)c2,2.494057062
Cc1c(C)ccc(c12)/C(=N/S(=O)(=O)C)C=CC\2=N/S(=O)(=O)C,2.648955235
Cc1cc(C)cc(c12)/C(=N/S(=O)(=O)C)C=CC\2=N/S(=O)(=O)C,2.672324386
Cc1ccc(C)c(c12)/C(=N/S(=O)(=O)C)C=CC\2=N/S(=O)(=O)C,2.607593907
Cc1cccc(c12)/C(=N/S(=O)(=O)C)C=C(C)/C2=N\S(=O)(=O)C,2.600562482
Cc1cccc(c12)C(=N\S(=O)(=O)C)\C(C)=CC\2=N/S(=O)(=O)C,2.58960173
Cc(c1)c(C)cc(c12)/C(=N/S(=O)(=O)C)C=CC\2=N/S(=O)(=O)C,2.847075997
CS(=O)(=O)/N=C1\C(C)=CC(=N/S(=O)(=O)C)\c(c12)ccc(C)c2,2.644819103
CS(=O)(=O)\N=C\1C=C(C)/C(=N\S(=O)(=O)C)c(c12)ccc(C)c2,2.635512804
CS(=O)(=O)/N=C1\C(C)=C(C)/C(=N\S(=O)(=O)C)c(c12)cccc2,2.520941925
Cc1cccc(c12)/C(=N/S(=O)(=O)C)C=CC\2=N/S(=O)(=O)C,2.683491944
Cc(c1)ccc(c12)/C(=N/S(=O)(=O)C)C=CC\2=N/S(=O)(=O)C,2.878717412
