SMILESquinone,VoltageQuinone
COc1cccc(C2=O)c1C(=O)c3ccc(c4c23)cccc4,2.212085204
Cc(c1)ccc(c12)C(=O)c3c(C2=O)cccc3,2.21246834
NC1=C(N)C(=O)C(N)=C(C1=O)N,2.21361775
COc(c1)ccc(c12)C(=O)c3c(C2=O)cccc3,2.214958728
c12c3c4c(=O)c(=O)c1c(OC)ccc2ccc3ccc4OC,2.219364798
Cc1cccc(c12)C(=O)c3c(C2=O)cccc3,2.221088912
COC(C1=O)=C(OC)C(=O)c(c12)ccc(c2)OC,2.226069687
c1cccc(c12)C(N)=CC(=O)C2=O,2.234881826
Nc1cccc(c12)c3c(C(=O)C2=O)cccc3,2.248291604
NC1=CC(=O)C(=O)C=C1N,2.252889242
Cc1cccc2ccc(c3c12)C(=O)c4c(C3=O)cccc4,2.262467655
Cc1c(C)c(C)c(C)c(c12)C(=O)C=CC2=O,2.26304236
COc1cccc(c12)C=C(C(=O)C2=O)OC,2.268980976
COC(C1=O)=C(OC)C(=O)c(c12)c(OC)ccc2OC,2.269364113
c1ccc(OC)c(c1c23)ccc2C(=O)c4c(C3=O)cccc4,2.274344887
COC(C1=O)=C(OC)C(=O)C(OC)=C1OC,2.274344887
c1cccc(c2)c1cc(c23)C(=O)c4c(C3=O)cc(Cl)cc4,2.277026843
c1cccc(c1c23)C(=O)C(=O)c2cc(N)cc3,2.279325662
c1cccc(c12)C(=O)c3c(C2=O)cccc3,2.281241344
COC(C1=O)=C(OC)C(=O)c(c12)cccc2,2.287946233
O=C1C(C)=C(C)C(=O)c(c12)ccc(C)c2,2.292543871
COc1cc(OC)cc2C(=O)C(=O)c(c3c12)cc(cc3)OC,2.292927008
c1cccc(c12)C(=O)C=C(C2=O)N,2.293884849
c1cc(C)cc(C2=O)c1C(=O)c3ccc(c4c23)cccc4,2.296375237
Cc(c1)ccc2C(=O)C(=O)c(c3c12)ccc(C)c3,2.298674056
c1cccc(c1c23)C(=O)C(=O)c2cccc3N,2.300972875
COc1ccc(OC)c2ccc(c3c12)C(=O)C=CC3=O,2.305378945
Cc(c1)c(C)cc2C(=O)C(=O)c(c3c12)cccc3,2.310359719
COc1cc(OC)cc(c12)C(=O)C=CC2=O,2.312658538
COC1=C(OC)C(OC)=C(C(=O)C1=O)OC,2.313233243
COc(c1)ccc2C(=O)C(=O)c(c3c12)cccc3,2.319363427
COc1ccc(OC)c2c(=CC(=O)C(=O)C3)c=3c(c4c12)c(OC)ccc4OC,2.325302043
NC1C(=O)C(=O)C(N)=c(c=12)c(N)c3c(c2N)cccc3,2.326259885
c1c(N)ccc(c12)C(=O)C=CC2=O,2.328750272
Cc1cccc(c12)c3c(C(=O)C2=O)cccc3,2.332390069
COC(C1=O)=CC(=O)c(c12)cccc2,2.334688888
O=C1C(=O)C=C(OC)c(c12)cccc2,2.337370843
COC(C1=O)=CC(=O)C(=C1)OC,2.33775398
c12c3c4c(N)c(N)c1cccc2c(=O)c(=O)c3ccc4,2.338520253
O=C1C(N)=CC(=O)C=C1N,2.340819072
O=C1C(=O)C(C)=C(C)c(c12)cccc2C,2.342926323
COC(C1=O)=C(OC)C(=O)C=C1OC,2.344267301
O=C1C(=O)C(OC)=C(OC)c(c12)cccc2,2.34541671
O=C1C=CC(=O)c(c12)cc3c(c2)cc4c(c3)cccc4,2.346757688
Clc1cccc(c12)C(=O)c3c(C2=O)cccc3,2.347715529
COc(cc1)cc(c2)c1cc(c23)C(=O)C=CC3=O,2.349439644
COc1cccc(c12)cc3c(c2)C(=O)C(=O)C=C3,2.350014348
c1cccc(c2OC)c1cc(c23)C(=O)C=CC3=O,2.353845713
c1cccc(c1c23)ccc2C(=O)c4c(C3=O)cccc4,2.355378259
Cc(c1)c(C)cc(c12)C(=O)C(=O)C=C2C,2.356719237
Cc(c1)ccc2C(=O)C(=O)c(c3c12)cccc3,2.358443352
O=C1C(C)=C(C)C(=O)c(c12)cccc2,2.359018056
c1c(N)ccc(c12)C=CC(=O)C2=O,2.359018056
COc1cccc2ccc(c3c12)C(=O)C=CC3=O,2.361700012
O=C1C(N)=C(N)C=CC1=O,2.363232558
Nc1ccc(N)c(c2=O)c1c(=O)c(c23)c(=O)c4c(c3=O)c(N)ccc4N,2.369745879
COc1cccc(c12)C=CC(=O)C2=O,2.37396038
Cc1cccc(c12)C(=O)C=C(C)C2=O,2.375301358
O=C1C(C)=CC(=O)c(c12)ccc(C)c2,2.377217041
COc1cccc(c12)C(=O)C=CC2=O,2.378749587
Cc1cccc(c12)C(=O)C(C)=CC2=O,2.386412317
COC(=C1)C(OC)=CC(=O)C1=O,2.386795453
COc(c1)c(OC)cc(c12)C(=O)C=CC2=O,2.387370158
Cc(c1)c(C)cc(c12)C=C(C)C(=O)C2=O,2.388902704
O=C1C=C(C)C(=O)c(c12)ccc(C)c2,2.390243682
Cc1ccc(C)c(c12)C(=O)C=CC2=O,2.390243682
c1cccc(C(=O)C2=O)c1c(c23)ccc4c3cccc4,2.391201523
O=C1C=CC(=O)c(c12)cccc2N,2.391201523
CC1=C(C)C(=O)C(C)=C(C)C1=O,2.401163073
COC(C1=O)=CC(=O)C=C1OC,2.401546209
NC1=C(N)C(=O)C=CC1=O,2.403461892
c1c(Cl)ccc(c12)C(=O)c3c(C2=O)cccc3,2.405377574
c1cccc(c1c23)C(=O)C(=O)c3ccc4c2cccc4,2.405760711
COC1=CC(OC)=CC(=O)C1=O,2.405760711
Clc1cccc(c12)C(=O)c3c(C2=O)cccc3Cl,2.405760711
Clc1ccc(Cl)c(c12)C(=O)c3c(C2=O)cccc3,2.405952279
c12c3c4c(=O)c(=O)c1cccc2ccc3ccc4,2.407101689
Nc1ccc(N)c(c1c23)c=4c(=CC(=O)C(=O)C4)c2c(N)ccc3N,2.409208939
Clc1cccc(c12)C(=O)c3c(C2=O)c(Cl)ccc3,2.409400508
COC1=C(OC)C=C(C(=O)C1=O)OC,2.413615009
O=C1C=CC(=O)c(c12)cc3c(c2)cccc3,2.413806578
c12c3c4c(=O)c(=O)c1c(Cl)ccc2ccc3ccc4Cl,2.417637943
Cc1cccc(c12)C=C(C)C(=O)C2=O,2.418021079
Cc1cc(C)cc(c12)C(=O)C(=O)C(C)=C2,2.420511466
c1cccc(c1c23)C(=O)C(=O)c2cccc3,2.422044013
Cc(c1)c(C)cc(c12)C(=O)C=CC2=O,2.422235581
CC1=C(C)C(=O)C(=O)c(c12)cccc2,2.426450082
c1cccc(c2Cl)c1cc(c23)cc4c(c3)C=CC(=O)C4=O,2.427407924
O=C1C(=O)C=Cc(c12)cc3c(c2)cccc3,2.430089879
Cc(c1)c(C)cc(c12)C=CC(=O)C2=O,2.438710451
Clc1c(Cl)ccc(c12)C(=O)c3c(C2=O)cccc3,2.441392406
O=C1C(=O)C(C)=Cc(c12)ccc(C)c2,2.44541534
O=C1C(C)=CC(=O)c(c12)cccc2,2.446564749
c1c(N)ccc(c1=2)=C(N)C(=O)C(=O)C2N,2.454610616
O=C1C(=O)C=CC(=C1)N,2.455185321
COc1ccc(OC)c2c1c(=O)c(=O)c(c23)c4c(c(=O)c3=O)c(OC)ccc4OC,2.457292572
c1c(Cl)ccc(c1c23)ccc2C(=O)c4c(C3=O)cccc4,2.4607408
Clc1ccc(Cl)c(c12)C(=O)c3c(C2=O)c(Cl)ccc3,2.462081778
Clc1cc(Cl)cc(c12)C(=O)c3c(C2=O)cccc3,2.462273346
Clc1cccc(c12)C(=O)c3c(C2=O)cc(Cl)cc3,2.467062553
COc(cc1)cc(c12)C=CC(=O)C2=O,2.467254121
Clc1cccc(c12)C(=O)c3c(C2=O)ccc(Cl)c3,2.47070235
COc(c1)ccc(c12)C(=O)C=CC2=O,2.471277054
O=c1c(=O)c(OC)cc(c1c23)cc(OC)c3c(OC)cc4c2c(=O)c(=O)c(c4)OC,2.473575873
Cc1cccc(c12)C(=O)C=CC2=O,2.474342146
O=C1C=CC(=O)c(c12)c(Cl)c3c(c2Cl)cccc3,2.47721567
c1cccc(c12)C=C(N)C(=O)C2=O,2.47721567
Cc(c1)ccc(c12)C(=O)C=CC2=O,2.479897626
O=C1C(=O)C(OC)=Cc(c12)cccc2,2.481047035
COc1cccc(c12)C(=O)C(=O)C=C2,2.481430172
c1cccc(c1c23)c(OC)cc2C(=O)C=CC3=O,2.481813308
Clc1c(Cl)cc(Cl)c(c12)C(=O)c3c(C2=O)cccc3,2.482579581
CC1=C(C)C(=O)C(=O)C(C)=C1C,2.482579581
c1c(Cl)c(Cl)cc(c12)C(=O)c3c(C2=O)cccc3,2.485261537
Clc1cccc(c12)c3c(C(=O)C2=O)c(Cl)ccc3,2.485453105
CC1=CC(=O)C(=O)c(c12)cccc2,2.488709766
c1c(N)c(N)cc(c1=2)=C(N)C(=O)C(=O)C2N,2.48928447
O=C1C=CC(=O)c(c1c23)ccc3ccc4c2cccc4,2.489667607
Nc1cccc(c1c23)c4c(C(=O)C=CC4=O)c2cccc3N,2.491200153
Nc1ccc(N)c(c1c23)c(=O)c(=O)c3c(=O)c(=O)c4c2c(N)ccc4N,2.493882109
c1cc(C)cc(c12)C=CC(=O)C2=O,2.495223086
O=C1C(=O)C(N)=CC=C1N,2.495606223
COc1c(OC)ccc(c12)C(=O)C(=O)C=C2,2.497330337
CC1=C(C)C(=O)C=C(C)C1=O,2.50250268
Clc1ccc(Cl)c(c12)C(=O)c3c(C2=O)c(Cl)ccc3Cl,2.504609931
COc1ccc(OC)c(c12)c3c(c(=O)ccc3=O)c4c2c(=O)ccc4=O,2.505184636
Nc1ccc(N)c(c1c23)c(=O)c(=O)c2c(=O)c4c(c3=O)c(N)ccc4N,2.507100318
O=C1C(=O)C(C)=Cc(c12)cccc2,2.508249728
COc1ccc(OC)c(c1c23)c(=O)c(=O)c3c(=O)c(=O)c4c2c(OC)ccc4OC,2.508441296
COc(c1)ccc(c12)C=CC(=O)C2=O,2.51016541
COc1ccc(OC)c(c1c23)c(=O)c(=O)c2c(=O)c4c(c3=O)c(OC)ccc4OC,2.515912458
Clc1c(Cl)c(Cl)cc(c12)C(=O)c3c(C2=O)cccc3,2.516678731
Cc(c1)ccc(c12)C=CC(=O)C2=O,2.517636572
c1c(Cl)ccc(c12)C(=O)c3c(C2=O)ccc(Cl)c3,2.518594414
COc(c1=O)c(OC)c(=O)c(c12)cc3c(c2)cc4c(c3)c(=O)c(OC)c(c4=O)OC,2.52012696
Clc1ccc(Cl)c(c12)C(=O)c3c(C2=O)cc(Cl)cc3,2.521467937
c1c(Cl)ccc(c12)C(=O)c3c(C2=O)cc(Cl)cc3,2.523958325
