SMILESquinone,VoltageQuinone
COc1c(=O)c(=O)c(OC)c(c12)c(=O)c(OC)c(c2=O)OC,3.031422635
O=c1c(C)c(C)c(=O)c(c12)c(C)c(=O)c(=O)c2C,3.06054101
Cc(c1)c(C)cc(c12)C(=O)c3c(C2=O)cc(C)c(C)c3,2.037183386
c1cccc(c12)C=CC(=O)C2=O,2.56955157
Clc1cccc(c12)C(=O)c3c(C2=O)cccc3,2.347715529
Cc1cccc(c12)C(=O)C(C)=CC2=O,2.386412317
Cc1c(C)c(=O)c(=O)c(c12)c(=O)c(=O)c(C)c2C,3.07586647
c1c(N)c(=O)c(=O)c(c12)cc(N)c(=O)c2=O,3.135635766
O=C1C(C)=C(C)C(=O)c(c12)cccc2,2.359018056
c1cccc(c2OC)c1cc(c23)C(=O)C=CC3=O,2.353845713
c1cccc(c2=O)c1c(=O)c(c23)c(=O)c(=O)c4c3cccc4,2.986212526
c1c(N)ccc(c1=2)=C(N)C(=O)C(=O)C2N,2.454610616
COc1ccc(OC)c2ccc(c3c12)C(=O)C=CC3=O,2.305378945
COc(cc1)cc(c2=O)c1c(=O)c(c23)c(=O)c4c(c3=O)ccc(c4)OC,2.931040869
O=c1c(=O)cc(Cl)c(c12)c(Cl)c(Cl)c(=O)c2=O,3.672026883
O=c1c(=O)c(C)cc(c12)cc(C)c(=O)c2=O,3.319349724
Cc(c1)c(=O)c(=O)c(c12)cc(C)c(=O)c2=O,3.422796582
O=c1ccc(=O)c(c12)c(Cl)cc(=O)c2=O,3.589460965
O=c1c(Cl)c(Cl)c(=O)c(c12)cc(Cl)c(=O)c2=O,3.727773245
C1C(=O)C(=O)C=c(c=12)ccc(Cl)c2,3.164562573
CC1=CC(=O)C=CC1=O,2.708055419
COc1cccc(C2=O)c1C(=O)c3ccc(c4c23)cccc4,2.212085204
c1c(=O)c(=O)cc(c2N)c1c(N)c(c23)cc4c(c3)c(=O)ccc4=O,3.386207045
Clc1c(=O)c(=O)c(Cl)c(c12)c3c(c(Cl)ccc3Cl)c4c2c(=O)ccc4=O,3.36149474
Clc1ccc(Cl)c(c1c23)c(=O)c(=O)c2c(=O)ccc3=O,3.222990891
CC1=C(C)C(=O)C=CC1=O,2.613229132
c1cc(=O)c(=O)c(c1c23)ccc2c(=O)c(=O)cc3,3.109582483
Cc1ccc(C)c(c12)c(=O)c3c(c2=O)c(=O)c4c(c3=O)c(C)ccc4C,2.686408206
CC1=C(C)C(=O)C(=O)c(c12)cccc2,2.426450082
c1cccc(c2C)c1cc3ccc(c4c23)C(=O)C(=O)C=C4,2.645604167
CC1=C(C)C(=O)C(=O)C=C1C,2.562846681
COC1C(=O)C(=O)C(OC)=c(c=12)cccc2,2.874528233
O=C1C(N)=C(N)C(=O)c(c12)c(N)ccc2N,1.843124743
