SMILEScsa,VoltageCSA
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C(OC)=C(OC)c(c2OC)c1c(OC)c(c23)cccc3OC,2.481028244
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C(N)=Cc(c(N)c2N)c1c(c23)c(N)cc(N)c3N,2.372041144
CS(=O)(=O)\N=C(C(N)=C1N)\C(=N\S(=O)(=O)C)\c(c12)ccc(N)c2N,2.038048421
CS(=O)(=O)\N=C(C(N)=C1N)\C(=N/S(=O)(=O)C)\c(c2)c1cc(c23)c(N)ccc3N,2.296763528
CS(=O)(=O)\N=C(C(=C1)N)\C(=N/S(=O)(=O)C)\c(c2N)c1c(N)c(c23)cccc3N,2.271946731
Cc1cc(C)cc2cc(C)c(c3c12)/C(=N/S(=O)(=O)C)C=C(C)/C3=N\S(=O)(=O)C,2.352394514
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C(Cl)=Cc(c1c23)ccc2c(Cl)ccc3Cl,2.908911182
COc(c1)cc(OC)c(c12)ccc3c2C=CC(=N/S(=O)(=O)C)\C\3=N/S(=O)(=O)C,2.831358692
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C(N)=Cc2c(N)cc(c3c12)cc(N)c(c3)N,2.496745548
CS(=O)(=O)\N=C\1C(=N\S(=O)(=O)C)\C(C)=Cc(c12)cc3c(c2)cc(C)cc3,2.582570304
COc1cc(OC)cc2c(OC)cc(c3c12)/C(=N/S(=O)(=O)C)/C(=N/S(=O)(=O)C)C=C3OC,2.524871251
CS(=O)(=O)\N=C\1C(Cl)=C(Cl)C(=N/S(=O)(=O)C)\c2ccc(c3c12)cc(Cl)cc3,2.84811003
Cc1c(C)c(C)cc(c12)/C(=N\S(=O)(=O)C)c3c(c(C)c(C)cc3)C\2=N\S(=O)(=O)C,2.132559055
CS(=O)(=O)\N=C(C1F)\C(=N\S(=O)(=O)C)C(F)=c(c=12)cc(F)cc2F,3.330796728
CS(=O)(=O)\N=C(C=C1)\C(=N/S(=O)(=O)C)\c(c2C#N)c1c(C#N)c(c23)c(C#N)ccc3C#N,3.297500858
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C(Cl)=Cc(c2Cl)c1c(Cl)c(c23)cccc3Cl,2.828463399
CS(=O)(=O)\N=C\1C(OC)=C(OC)C(=N/S(=O)(=O)C)\c(c2OC)c1cc(c23)cc(OC)cc3OC,2.398305588
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C=C(N)c(c1c23)ccc2c(N)cc(N)c3N,2.315996545
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C=C(N)c(c2N)c1cc(c23)cc(N)cc3N,2.244027834
CS(=O)(=O)\N=C(C(F)=C1)\C(=N/S(=O)(=O)C)\c2c1cc(F)c(c23)c(F)cc(F)c3F,2.903327403
N#Cc1c(C#N)cc(C#N)c(c12)c3c(cc2C#N)=CC(=N\S(=O)(=O)C)\C(\C=3C#N)=N\S(=O)(=O)C,3.841609128
COC1=CC(=N/S(=O)(=O)C)\C(=N/S(=O)(=O)C)\c(c2OC)c1c(OC)c(c23)c(OC)cc(OC)c3OC,2.374522824
CS(=O)(=O)\N=C(C1)/C(=N/S(=O)(=O)C)C=c2c=1c(Cl)c(Cl)c(c23)cc(Cl)cc3,3.309495644
CS(=O)(=O)\N=C\1C(OC)=CC(=N/S(=O)(=O)C)\c(c1c23)c(OC)c(OC)c2cccc3OC,2.389826516
N#Cc1c(C#N)ccc2c(C#N)c(C#N)c(c3c12)C=C(C#N)/C(=N\S(=O)(=O)C)C\3=N/S(=O)(=O)C,3.691881121
N#CC1=C(C#N)/C(=N\S(=O)(=O)C)C(=N\S(=O)(=O)C)\c(c12)cc(C#N)c(C#N)c2,3.706978006
CS(=O)(=O)\N=C\1C(N)=C(N)C(=N/S(=O)(=O)C)\c(c2N)c1c(N)c(c23)cc(N)c(N)c3N,1.908587464
Clc1ccc(Cl)c(C\2=N\S(=O)(=O)C)c1C(=N\S(=O)(=O)C)\c(c23)c(Cl)cc(Cl)c3Cl,2.508533527
Nc1ccc(N)c(c12)/C(=N/S(=O)(=O)C)C(=N\S(=O)(=O)C)\c3c2cccc3,2.309378733
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C=Cc(c2F)c1c(F)c(c23)cc(F)cc3F,2.798683243
N#Cc(c1)c(C#N)cc(c12)C=C(C#N)/C(=N\S(=O)(=O)C)C\2=N\S(=O)(=O)C,3.339068993
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C=C(F)c(c2)c1cc(c23)ccc(F)c3F,2.754840235
CS(=O)(=O)\N=C\1C(F)=CC(=N/S(=O)(=O)C)\c(c12)c(F)c(F)cc2F,2.826808946
CS(=O)(=O)\N=C\1C(OC)=C(OC)C(=N/S(=O)(=O)C)\c(c12)c(OC)cc3c2ccc(c3)OC,2.493850255
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C(N)=C(N)c(c2N)c1cc(c23)cc(N)cc3N,2.143726614
Nc1cccc(c12)/C(=N/S(=O)(=O)C)C(N)=CC\2=N/S(=O)(=O)C,2.388585676
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C(N)=Cc2c1c(N)c(N)c(c23)cc(N)cc3N,2.360046359
