SMILES,Voltage
C(S(=O)(=O)/N=C1C(=N\S(=O)(=O)C([H])([H])[H])\C([H])=C(F)c2c([H])c3c(c([H])c2\1)c([H])c([H])c(F)c3F)([H])([H])[H],2.754840235
O=C1C([H])=C(Sc2c([H])c([H])c(SC3=C([H])C(=O)c4c(c([H])c([H])c([H])c4[H])C3=O)c([H])c2[H])C(=O)c2c1c([H])c([H])c([H])c2[H],2.6
C(S(=O)(=O)/N=C1\C(N([H])[H])=C([H])/C(=N\S(=O)(=O)C([H])([H])[H])c2c1c1c(c(N([H])[H])c2[H])c([H])c(N([H])[H])c([H])c1N([H])[H])([H])([H])[H],2.22769011
O=C1c2c(c([H])c([H])c([H])c2[H])C(=O)c2c1c([H])c([H])c([H])c2[H],2.3
C(Oc1c([H])c(N2c3c([H])c([H])c([H])c([H])c3N(c3c([H])c([H])c([H])c([H])c3[H])c3c([H])c([H])c([H])c([H])c32)c([H])c([H])c1[H])([H])([H])[H],3.98
C(Oc1c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c2c1C(=N\S(=O)(=O)C([H])([H])[H])/C(=N/S(=O)(=O)C([H])([H])[H])C([H])=C2[H])([H])([H])[H],2.422501965
C(c1c2c(c([H])c([H])c1[H])N(c1c([H])c([H])c([H])c([H])c1[H])c1c(c([H])c([H])c([H])c1[H])N2c1c([H])c([H])c([H])c([H])c1[H])([H])([H])[H],3.91
C(c1c2c(=O)c(C#C[H])nc(=O)c-2c([H])c(=N[H])c1=O)([H])([H])[H],2.9716
C(c1c(C([H])([H])[H])c([H])c([H])c2c1C(=N/S(=O)(=O)C([H])([H])[H])/C(=N/S(=O)(=O)C([H])([H])[H])c1c-2c([H])c([H])c([H])c1[H])([H])([H])[H],2.457452287
O(c1c([H])c([H])c(N2c3c([H])c([H])c([H])c([H])c3N(c3c([H])c([H])c([H])c([H])c3[H])c3c([H])c([H])c([H])c([H])c32)c([H])c1[H])[H],3.98
C(S(=O)(=O)/N=C1\C([H])=C(N([H])[H])/C(=N\S(=O)(=O)C([H])([H])[H])c2c([H])c3c(c([H])c21)c(N([H])[H])c([H])c([H])c3N([H])[H])([H])([H])[H],2.405957433
C(Oc1c([H])c2c(c3c(c4c2c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c4[H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c3[H])c([H])c1OC([H])([H])[H])([H])([H])[H],3.5
O=C1N([H])C(=O)c2c3c4c(c([H])c2[H])C(=O)N([H])C(=O)c4c([H])c([H])c31,2.33
O=c1c([H])c([H])c(=O)c2c([H])c(Cl)c(=O)c(=O)c1=2,3.570112571
C(S(=O)(=O)/N=C1\C([H])=C(N([H])[H])c2c(c(N([H])[H])c3c(c2N([H])[H])c([H])c([H])c(N([H])[H])c3N([H])[H])\C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.062244798
C(Oc1c(OC([H])([H])[H])c(=O)c(=O)c2c(=O)c3c(c(=O)c1=2)c([H])c([H])c([H])c3[H])([H])([H])[H],3.06054101
O=C1c2c(c(S(=O)(O[Na])=O)c([H])c([H])c2[H])C(=O)c2c1c(S(=O)(O[Na])=O)c([H])c([H])c2[H],2.4
C(S(=O)(=O)/N=C1\C(F)=c2c(c([H])c3c(c2[H])c(F)c([H])c([H])c3F)=C(F)\C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],3.484867674
C(c1sc(-c2sc(-c3sc(-c4c([H])c([H])c(C([H])([H])[H])s4)c([H])c3[H])c([H])c2[H])c([H])c1[H])([H])([H])[H],3.6
O=c1c(Cl)c(Cl)c(=O)c2c(=O)c(Cl)c(Cl)c(=O)c1=2,3.721068356
O=C(O[H])c1nc([H])c(C(O[H])=O)nc1[H],0.9
C(C1=C([H])C(=O)C([H])=C(C([H])([H])[H])C1=O)([H])([H])[H],2.599436218
O=c1c(=O)c(OC([H])([H])[H])c([H])c2c(OC([H])([H])[H])c3c(c(OC([H])([H])[H])c12)c([H])c(OC([H])([H])[H])c(=O)c3=O,2.930274596
C(S(=O)(=O)/N=C1C(=N\S(=O)(=O)C([H])([H])[H])\C(N([H])[H])=C([H])c2c\1c([H])c([H])c1c2c([H])c(N([H])[H])c([H])c1N([H])[H])([H])([H])[H],2.674185646
C(S(=O)(=O)/N=C1\C(Cl)=c2c(c(Cl)c3c(c2[H])c([H])c([H])c([H])c3Cl)=C(Cl)\C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],3.458396424
Clc1c(Cl)c(=O)c(=O)c2c(=O)c([H])c(Cl)c(=O)c1=2,3.734669703
Clc1c([H])c(Cl)c(Cl)c2c1/C(=N/S(=O)(=O)C([H])([H])[H])c1c(c(Cl)c(Cl)c(Cl)c1Cl)/C2=N\S(=O)(=O)C([H])([H])[H],2.568714259
c1([H])c([H])c([H])c([H])c2c1C(=O)C(=O)C(N([H])[H])=C2[H],2.47721567
C(Oc1c([H])c2c(c([H])c1[H])C(=O)C([H])=C([H])C2=O)([H])([H])[H],2.471277054
N(c1c([H])c(N([H])[H])c(N([H])[H])c2c1-c1c(c([H])c(N([H])[H])c(N([H])[H])c1N([H])[H])C(=N/S(=O)(=O)C([H])([H])[H])/C2=N/S(=O)(=O)C([H])([H])[H])([H])[H],2.061210765
C(S(=O)(=O)/N=C1\C([H])=C([H])c2c(c(N([H])[H])c3c(c2N([H])[H])c(N([H])[H])c([H])c([H])c3N([H])[H])\C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.216315745
Brc1nc(=N[H])oc(-c2nsc(=O)c(=O)nc2[H])n1,3.0003
C(S(=O)(=O)/N=C1\C([H])=C(C([H])([H])[H])/C(=N\S(=O)(=O)C([H])([H])[H])c2c(C([H])([H])[H])c(C([H])([H])[H])c3c(c21)c([H])c([H])c(C([H])([H])[H])c3C([H])([H])[H])([H])([H])[H],2.390240129
C(S(=O)(=O)/N=C1\C([H])=C([H])c2c(c(OC([H])([H])[H])c3c(c2[H])c([H])c([H])c([H])c3OC([H])([H])[H])\C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.566439386
O=N/C(C([H])([H])[H])=C(/N=O)C([H])([H])[H],2.6
c1([H])c(N([H])[H])c([H])c([H])c2c1C(=O)c1c(c([H])c([H])c([H])c1[H])C2=O,2.080860949
C(C1(C([H])([H])[H])N([O])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(OC(C(OC([H])([H])[H])(C(C([H])([H])[H])([H])[H])[H])([H])[H])([H])C1([H])[H])([H])([H])[H],3.6
c1([H])c(=O)c(=O)c([H])c2c(N([H])[H])c3c(c(N([H])[H])c12)c([H])c1c(c3[H])c(=O)c([H])c([H])c1=O,3.386207045
C(S(/N=C1/C(N([Li])S(=O)(C([H])([H])[H])=O)=C([H])/C(=N/S(=O)(C([H])([H])[H])=O)C([H])=C1[H])(=O)=O)([H])([H])[H],3.1
c1([H])c([H])c([H])c([H])c2c1-c1c(c([H])c([H])c([H])c1N([H])[H])C(=O)C2=O,2.300972875
C(c1c([H])c([H])c(-c2c([H])c([H])c(-c3c([H])c4c(c([H])c3[H])N(c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c3c([H])c([H])c(C([H])([H])[H])c([H])c3S4)s2)s1)([H])([H])[H],3.45
O=C1N([H])C(O[H])=c2c1c([H])c1c(c2[H])C(=O)N([H])C=1O[H],1.75
C(S(=O)(=O)/N=C1C(=N\S(=O)(=O)C([H])([H])[H])\C([H])=C([H])c2c\1c(F)c1c(c2[H])c(F)c([H])c([H])c1[H])([H])([H])[H],2.736641251
C(Oc1c([H])c2c(c([H])c1OC([H])([H])[H])c1c(c([H])c(=O)c(=O)c1[H])c1c2c([H])c(=O)c(=O)c1[H])([H])([H])[H],3.196362903
C(c1c([H])c2c(c([H])c1C([H])([H])[H])C([H])=C(C([H])([H])[H])C(=O)C2=O)([H])([H])[H],2.388902704
C(S(=O)(=O)/N=C1\C(Cl)=C([H])/C(=N\S(=O)(=O)C([H])([H])[H])c2c([H])c(Cl)c3c(c21)c([H])c(Cl)c(Cl)c3[H])([H])([H])[H],2.9250421
Clc1c([H])c(Cl)c([H])c2c1/C(=N\S(=O)(=O)C([H])([H])[H])c1c(c(Cl)c([H])c([H])c1[H])/C2=N/S(=O)(=O)C([H])([H])[H],2.536866037
N(c1c(N([H])[H])c(N([H])[H])c(N([H])[H])c2c1c1c(c3c2c(=O)c([H])c([H])c3=O)c(=O)c([H])c([H])c1=O)([H])[H],2.563612954
C(C(C(c1c([H])c([H])c(C2=[N+]([O-])C(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])N2[O])c([H])c1[H])(C([H])([H])[H])[H])([H])[H])([H])([H])[H],3.6
O=C(O[Li])c1c([H])c([H])c(C(O[Li])=O)s1,1.0
O=C1C([H])=C([H])C(=O)c2c1c(N([H])[H])c([H])c([H])c2[H],2.391201523
C(c1c([H])c(C([H])([H])[H])c(C([H])([H])[H])c2c1-c1c(c([H])c([H])c(C([H])([H])[H])c1[H])C(=N\S(=O)(=O)C([H])([H])[H])/C2=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.35322174
O=C1N(C([H])([H])[H])C(=O)c2c3c1c([H])c([H])c1c4c([H])c([H])c5c6c(c([H])c([H])c(c46)c(c13)c(Br)c2[H])C(=O)N(C([H])([H])[H])C5=O,2.5
