SMILES,Voltage
C(S(=O)(=O)/N=C1\C([H])=C(N([H])[H])c2c(c(N([H])[H])c3c(c2[H])c([H])c(N([H])[H])c(N([H])[H])c3N([H])[H])\C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.070310257
C(S(=O)(=O)/N=C1/C(Cl)=c2c(c3c(c(Cl)c2[H])c(Cl)c([H])c(Cl)c3Cl)=C([H])/C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],3.292537499
O=c1c(=O)c(O[H])c(O[H])c1=O,2.1
O=S(OC(C([H])([H])[H])([H])[H])C(S(OC(C([H])([H])[H])([H])[H])=O)=c1c([H])c([H])c(=C(S(OC(C([H])([H])[H])([H])[H])=O)S(OC(C([H])([H])[H])([H])[H])=O)c([H])c1[H],3.13
O=C(c1c([H])nc(C(O[Li])=O)c([H])n1)O[Li],1.2
O(C1([H])N([H])C(=O)c2nc3c([H])c([H])c([H])c([H])c3nc2N1[H])[H],1.9
O(N=C1C([H])=C([H])C(=NO[H])C([H])=C1[H])[H],3.1
C(c1c(C(N([H])[H])([H])[H])c(=O)c2nnc(=O)c=2c1=O)([H])([H])[H],3.3792
O(c1c([H])c([H])c([H])c([H])c1N1c2c([H])c([H])c([H])c([H])c2N(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c21)[H],3.98
N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O,3.3
C(Oc1c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c2c1C(=N\S(=O)(=O)C([H])([H])[H])/C(=N/S(=O)(=O)C([H])([H])[H])C(OC([H])([H])[H])=C2[H])([H])([H])[H],2.360666779
N(C1=C(N([H])[H])C(=O)C(N([H])[H])=C(N([H])[H])C1=O)([H])[H],2.21361775
O=P(c1c([H])c([H])c(N2c3c([H])c([H])c([H])c([H])c3N(c3c([H])c([H])c([H])c([H])c3[H])c3c([H])c([H])c([H])c([H])c32)c([H])c1[H])(O[H])O[H],3.28
[Li]Oc1c([H])c([H])c(O[Li])c([H])c1[H],2.55
C(S(=O)(=O)/N=C1C(=N/S(=O)(=O)C([H])([H])[H])/C([H])=C([H])c2c/1c(N([H])[H])c([H])c([H])c2N([H])[H])([H])([H])[H],2.321787131
c1([H])c([H])c([H])c(P(SSSSP(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],2.9
C(S(/N=C1/C(N(S(=O)(C([H])([H])[H])=O)[H])=C([H])/C(=N/S(=O)(C([H])([H])[H])=O)C([H])=C1[H])(=O)=O)([H])([H])[H],3.1
O=S(C1=C([H])C(=O)C(S(=O)(O[Li])=O)=C([H])C1=O)(O[Li])=O,3.1
C(OC1=c2c(c([H])c([H])c3c2c([H])c([H])c([H])c3[H])=C(OC([H])([H])[H])C(=N/S(=O)(=O)C([H])([H])[H])/C1=N/S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.935589238
O=C1C(O[Li])=C(Cl)C(=O)C(O[Li])=C1Cl,2.0
C(n1c(F)nc2c1c(=O)n(C([H])([H])[H])c(=O)n2C([H])([H])[H])([H])([H])[H],2.4
[Li]Oc1c([H])c([H])c(O[Li])c2c1c1c([H])c([H])c([H])c([H])c1c([H])c2[H],2.39
O=c1c(=O)c(=O)c(O[Li])c(O[Li])c1=O,2.4
C(S(=O)(=O)/N=C1/C([H])=c2c(c3c(c(N([H])[H])c2[H])c(N([H])[H])c(N([H])[H])c(N([H])[H])c3N([H])[H])=C(N([H])[H])/C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.355289807
c1([H])c(=O)c(=O)c([H])c2c(=O)c(N([H])[H])c(N([H])[H])c(=O)c1-2,3.075483334
O=C1C([H])=C(O[H])C(=O)C([H])=C1O[H],1.66
C(c1c(O[Li])c(O[H])c(SC([H])([H])[H])c(O[Li])c1O[H])([H])([H])[H],2.05
O=C1C(C([H])([H])[H])=C([H])C(=O)C(N(C([H])([H])[H])[H])=C1[H],2.45
c1([H])c([H])c([H])c([H])c2c1c1c(c([H])c2[H])C(=O)c2c(c([H])c([H])c([H])c2[H])C1=O,2.355378259
O=c1oc2c3c(c(=O)oc4c3c1c([H])c(O[H])c4O[H])c([H])c(O[H])c2O[H],0.7
O=C1C(OC([H])([H])[H])=C(O[H])C(=O)C(OC([H])([H])[H])=C1O[H],2.5
O=c1c2c([H])c([H])c([H])c([H])c2c(=O)c2c3n([H])c4c([H])c([H])c5c(=O)c6c(c([H])c([H])c([H])c6[H])c(=O)c5c4n([H])c3c([H])c([H])c12,2.3
c1(N2c3c(c([H])c([H])c([H])c3[H])Sc3c2c([H])c([H])c([H])c3[H])c([H])c(N2c3c(c([H])c([H])c([H])c3[H])Sc3c2c([H])c([H])c([H])c3[H])c([H])c(N2c3c(c([H])c([H])c([H])c3[H])Sc3c2c([H])c([H])c([H])c3[H])c1[H],3.65
O=c1c([H])c([H])c(=O)c2c(=O)c3c(c(=O)c1=2)c([H])c([H])c([H])c3[H],3.203450929
N#Cc1c(O[Li])c(Cl)c(Cl)c(O[Li])c1C#N,3.3
O=C1c2c([H])c([H])c([H])c([H])c2C(=O)C([H])=C1S(=O)(O[Na])=O,2.9
O=C1C(=O)C(N([H])[H])=C([H])C([H])=C1N([H])[H],2.495606223
O=C1C([H])=C([H])c2c(c([H])c([H])c3c2C([H])=C([H])C(=O)C=3[H])=C1[H],3.11
N#Cc1c([H])c2c(c([H])c1C#N)c([H])c(C#N)c1c2C(=N/S(=O)(=O)C([H])([H])[H])/C(=N/S(=O)(=O)C([H])([H])[H])C([H])=C1[H],3.258414404
C(Oc1c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c2c1-c1c(c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c1[H])C(=N\S(=O)(=O)C([H])([H])[H])/C2=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.490127736
N#Cc1c(O[Li])c(O[Li])c(Cl)c(Cl)c1O[Li],1.2
O=C1C(=O)c2c(nc([H])c([H])c2[H])-c2c1c([H])c([H])c([H])n2,2.74
O=C1c2c(c([H])c([H])c([H])c2[H])C(=O)c2c1c([H])c([H])c([H])c2[H],2.3
O=S(C(F)(F)F)(N([Li])c1c(F)c([H])c(N([Li])S(C(F)(F)F)(=O)=O)c(F)c1[H])=O,3.7
N(c1c([H])c([H])c(N([H])[H])c2c1c1c(=O)c3c(c(=O)c=1c(=O)c2=O)c(N([H])[H])c([H])c([H])c3N([H])[H])([H])[H],2.507100318
O=C1C(C#N)=C(C#N)C(=O)C(Cl)=C1Cl,3.3
O=c1c2c([H])c3c(c([H])c2c(=O)c2c1c([H])c([H])c([H])c2[H])c(=O)c1c(c([H])c([H])c([H])c1[H])c3=O,2.1
[Li]Oc1c2c(c([H])c([H])c([H])c2[H])c(O[Li])c2c([H])c([H])c([H])c([H])c12,2.08
C(OC1=C([H])C(OC([H])([H])[H])=C([H])C(=N/S(=O)(=O)C([H])([H])[H])/C1=N/S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.807162315
O(C1=c2c3c(c([H])c([H])c4c3c(c([H])c2[H])c2c([H])c([H])c3c5c2c4c([H])c([H])c5=C(O[H])N(C(C(O[Li])=O)([H])[H])C=3O[H])=C(O[H])N1C(C(O[Li])=O)([H])[H])[H],2.13
N#Cc1c([H])c2c(c([H])c1C#N)C([H])=C(C#N)C(=N\S(=O)(=O)C([H])([H])[H])/C2=N/S(=O)(=O)C([H])([H])[H],3.339068993
C(C(C(C([H])([H])[H])([H])[H])(c1c([H])c([H])c([H])c([H])c1C(N1c2c([H])c([H])c([H])c([H])c2Oc2c1c([H])c([H])c([H])c2[H])([H])[H])[H])([H])([H])[H],3.57
[O-][n+]1c(SSc2[n+]([O-])c([H])c([H])c([H])c2[H])c([H])c([H])c([H])c1[H],2.8
O=C1C(SC([H])([H])[H])=C(O[H])C(=O)C(C([H])([H])[H])=C1O[H],2.1
C(C#Cc1c([H])c(C#CC([H])([H])[H])c([H])c(C#Cc2c([H])c3c(c([H])c2[H])N(C([H])([H])[H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2S3)c1[H])([H])([H])[H],3.63
C(S(=O)(=O)/N=C1\C(N([H])[H])=C(N([H])[H])/C(=N\S(=O)(=O)C([H])([H])[H])c2c(N([H])[H])c3c(c(N([H])[H])c21)c([H])c(N([H])[H])c(N([H])[H])c3N([H])[H])([H])([H])[H],1.908587464
c1([H])c([H])c([H])c2nc3c([H])c([H])c([H])c([H])c3nc2c1[H],1.87
N(c1c([H])c([H])c([H])c2c1=C(N([H])[H])C(=O)C(=O)C=2N([H])[H])([H])[H],2.705565031
N#Cc1c(N(S(C([H])([H])[H])(=O)=O)[H])c([H])c(C#N)c(N(S(C([H])([H])[H])(=O)=O)[H])c1[H],3.4
O=C(C1([H])C(C(=C([H])[H])[H])([H])C([H])([H])C(C(=C([H])[H])[H])([H])C1(C(OC(c1c([H])c([H])c2c(c1[H])Sc1c(c([H])c([H])c([H])c1[H])S2)([H])[H])=O)[H])OC(c1c([H])c([H])c2c(c1[H])Sc1c(c([H])c([H])c([H])c1[H])S2)([H])[H],4.0
c1([H])c([H])c(C([H])([H])[H])c(C([H])([H])[H])c2c1-c1c(c([H])c([H])c([H])c1C([H])([H])[H])C(=N/S(=O)(=O)C([H])([H])[H])/C2=N/S(=O)(=O)C([H])([H])[H],2.337090822
C(c1c([H])c([H])c(SC([H])([H])[H])c2c1=C(O[H])C1([H])C([H])(C=2O[H])C(O[Li])=C([H])C([H])=C1O[Li])([H])([H])[H],2.5
N(c1c([H])c(O[Li])c(N([H])[H])c([H])c1O[Li])([H])[H],2.3
c1([H])c([H])c([H])c([H])c2c(OC([H])([H])[H])c3c(c([H])c12)C(=O)C([H])=C([H])C3=O,2.353845713
C(c1c([H])c(C([H])([H])[H])c(C([H])([H])[H])c2c([H])c(C([H])([H])[H])c3c(c12)=C(C([H])([H])[H])C(=N\S(=O)(=O)C([H])([H])[H])/C(=N\S(=O)(=O)C([H])([H])[H])C=3[H])([H])([H])[H],2.864654561
O=c1c2c(sc3c(ssc3=S)s2)c(=O)c2c1sc1c(ssc1=S)s2,2.2
C(Oc1c(OC([H])([H])[H])c([H])c([H])c2c(OC([H])([H])[H])c([H])c3c(c12)/C(=N/S(=O)(=O)C([H])([H])[H])C([H])=C(OC([H])([H])[H])/C3=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.497365968
C(c1c(O[Li])c(C([H])([H])[H])c(C([H])([H])[H])c(O[Li])c1C([H])([H])[H])([H])([H])[H],2.3
c1([H])c([H])c([H])c([H])c2c1C(=O)C(N([H])[H])=C(N([H])[H])C2=O,2.149442384
N(c1c(=O)c(=O)c(N([H])[H])c2c(=O)c3c(c(=O)c1-2)c([H])c([H])c([H])c3[H])([H])[H],3.099046229
C(S(=O)(=O)/N=C1C(=N\S(=O)(=O)C([H])([H])[H])\C(N([H])[H])=C(N([H])[H])c2c\1c1c(c([H])c2N([H])[H])c(N([H])[H])c(N([H])[H])c(N([H])[H])c1[H])([H])([H])[H],2.232239856
N#CC1=C(C#N)C(=N\S(=O)(=O)C([H])([H])[H])/C(=N\S(=O)(=O)C([H])([H])[H])c2c(C#N)c3c(c(C#N)c21)c([H])c(C#N)c([H])c3C#N,3.771501677
C(c1c([H])c2c(n(C([C@@]([C@@]([C@@](C(O[H])([H])[H])(O[H])[H])(O[H])[H])(O[H])[H])([H])[H])c3nc(=O)n([H])c(=O)c-3n2)c([H])c1Br)([H])([H])[H],2.6
C1([H])=C([H])C(=O)C(=O)c2c1c1c(c([H])c2[H])c([H])c2c(c1[H])c([H])c([H])c([H])c2[H],2.661504333
C(Oc1c(OC([H])([H])[H])c([H])c(OC([H])([H])[H])c2c1c1c(c([H])c2OC([H])([H])[H])/C(=N/S(=O)(=O)C([H])([H])[H])C(OC([H])([H])[H])=C(OC([H])([H])[H])/C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.504190587
C(Oc1c([H])c2c(c([H])c1[H])/C(=N\S(=O)(=O)C([H])([H])[H])c1c(c([H])c([H])c(OC([H])([H])[H])c1[H])/C2=N/S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.331507043
O(c1c([H])c([H])c([H])c2c(O[H])c([H])c([H])c([H])c12)[H],2.88
O=C1C(C#N)=C(N(C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])[H])C(=O)C(Cl)=C1N(C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])[H],2.4
C(S(=O)(=O)/N=C1\C([H])=C(F)/C(=N\S(=O)(=O)C([H])([H])[H])c2c([H])c([H])c3c(c21)c([H])c(F)c(F)c3[H])([H])([H])[H],2.839217344
C(C(C([H])([H])[H])(c1c([H])c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])[H])c1N1C(=O)c2c([H])c([H])c3c4c([H])c([H])c5c6c(c([H])c([H])c(c46)c4c3c2c(c([H])c4[H])C1=O)C(=O)N(c1c(C(C([H])([H])[H])(C([H])([H])[H])[H])c([H])c([H])c([H])c1C(C([H])([H])[H])(C([H])([H])[H])[H])C5=O)[H])([H])([H])[H],2.42
C(S(=O)(=O)/N=C1\C(F)=c2c(c(F)c(F)c3c2c([H])c(F)c([H])c3F)=C([H])\C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],3.287367333
C(C(C([H])([H])[H])(N=NC(C([H])([H])[H])(C([H])([H])[H])C(=N[H])N([H])[H])C(=N[H])N([H])[H])([H])([H])[H],1.3
N#CN(c1c(Cl)c([H])c(N(C#N)[H])c(Cl)c1[H])[H],3.3
C(c1c([H])c2c(c(C([H])([H])[H])c1C([H])([H])[H])c([H])c(C([H])([H])[H])c1c2/C(=N/S(=O)(=O)C([H])([H])[H])C(C([H])([H])[H])=C(C([H])([H])[H])/C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.416504572
O(c1c([H])c([H])c(N2c3c([H])c([H])c([H])c([H])c3N(c3c([H])c([H])c([H])c([H])c3[H])c3c([H])c([H])c([H])c([H])c32)c([H])c1[H])[H],3.98
O=c1c(=O)c(=O)c(O[H])c(O[H])c1=O,2.4
Clc1c(O[Li])c(O[Li])c(Cl)c(O[Li])c1O[Li],2.05
Clc1c([H])c([H])c(Cl)c2c1c1c(c3c2=C([H])C(=O)C(=O)C=3[H])c(Cl)c([H])c([H])c1Cl,2.853647293
C(C(C([H])([H])[H])(C([H])([H])[H])c1c([H])c([H])c(-c2nnc(-c3c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3[H])nn2)c([H])c1[H])([H])([H])[H],2.3
C(c1c([H])c2c(c([H])c1C([H])([H])[H])c([H])c(C([H])([H])[H])c1c2C(=N/S(=O)(=O)C([H])([H])[H])/C(=N/S(=O)(=O)C([H])([H])[H])C(C([H])([H])[H])=C1[H])([H])([H])[H],2.622897599
C(c1c(C([H])([H])[H])c(C([H])([H])[H])c([H])c2c1c(C([H])([H])[H])c1c(c2[H])C(=N/S(=O)(=O)C([H])([H])[H])/C(=N/S(=O)(=O)C([H])([H])[H])C([H])=C1C([H])([H])[H])([H])([H])[H],2.531282257
O(c1c(O[H])c2c(c3c([H])c([H])c([H])c([H])c13)c([H])c([H])c([H])c2[H])[H],2.52
O=C1C(=O)C([H])=C(OC([H])([H])[H])c2c1c([H])c([H])c([H])c2[H],2.337370843
O=C1C([H])=C([H])C(=O)C2=C1C1([H])C3=C(C2([H])C2=C1C(=O)C([H])=C([H])C2=O)C(=O)C([H])=C([H])C3=O,2.6
